ending1,ending2,labels,startphrase
Wajahnya terlihat rupawan.,Wajahnya terlihat jelek.,0,Wajahnya terlihat seperti beauty filter di Instagram.
Wajahnya terlihat rupawan.,Wajahnya terlihat jelek.,1,Wajahnya terlihat seperti habis perawatan di klinik abal-abal.
Rambutnya tertata bagus.,Rambutnya lepek.,0,"Dilihat dari rambutnya, dia seperti habis dari salon."
Rambutnya tertata bagus.,Rambutnya lepek.,1,"Dilihat dari rambutnya, dia seperti habis lari lima putaran."
Dia beribadah dengan asal.,Dia beribadah dengan khusyuk.,0,Dia beribadah seperti tidak ada surga dan neraka.
Dia beribadah dengan asal.,Dia beribadah dengan khusyuk.,1,Dia beribadah seperti akan mati esok hari.
Perawakannya kurus.,Perawakannya gendut.,0,"Dari perawakannya, ia telrihat seperti belum makan tiga hari."
Perawakannya kurus.,Perawakannya gendut.,1,"Dari perawakannya, ia telrihat seperti baru menghabiskan semur satu kuali."
Bapak itu terlihat gemuk.,Bapak itu terlihat kurus.,0,Bapak itu terlihat seperti memiliki istri yang pandai memasak.
Bapak itu terlihat gemuk.,Bapak itu terlihat kurus.,1,Bapak itu terlihat seperti tinggal di kosan seorang diri.
Raut wajahnya ceria.,Raut wajahnya murung.,0,Raut wajahnya seakan ia baru saja menang giveaway di sosial media.
Raut wajahnya ceria.,Raut wajahnya murung.,1,Raut wajahnya seakan ia baru saja diretas di sosial media.
Kemampuan Bahasa Inggrisnya buruk.,Kemampuan Bahasa Inggrisnya bagus sekali.,0,Kemampuan Bahasa Inggrisnya seperti anak usia lima tahun.
Kemampuan Bahasa Inggrisnya buruk.,Kemampuan Bahasa Inggrisnya bagus sekali.,1,Kemampuan Bahasa Inggrisnya seperti warna negara Amerika.
Dia menyetir dan tahu arah jalan.,Dia menyetir dan tidak tahu arah jalan.,0,Dia meneyetir seakan-akan ia sudah tinggal di kota ini tiga puluh tahun.
Dia menyetir dan tahu arah jalan.,Dia menyetir dan tidak tahu arah jalan.,1,Dia meneyetir seakan-akan ia baru kemarin sore sampai di kota ini.
"Semenjak kau pergi, aku merasa kehilangan.","Semenjak kau pergi, aku merasa lebih baik.",0,"Semenjak kau pergi, hatiku seperti rumah yang ditinggal pemiliknya."
"Semenjak kau pergi, aku merasa kehilangan.","Semenjak kau pergi, aku merasa lebih baik.",1,"Semenjak kau pergi, hatiku seperti rumah yang direnovasi."
Dia mendengarkan nasehat dari ibunya dengan sungguh-sungguh.,Dia mendengarkan nasehat dari ibunya dengan tidak fokus.,0,Dia mendengarkan nasehat dari ibunya seperti murid yang duduk di bangku paling depan.
Dia mendengarkan nasehat dari ibunya dengan sungguh-sungguh.,Dia mendengarkan nasehat dari ibunya dengan tidak fokus.,1,Dia mendengarkan nasehat dari ibunya seperti murid yang tidak sabar menunggu bel pulang.
Laki-laki itu berpidato dengan sangat percaya diri.,Laki-laki itu berpidato dengan sangat  tidak percaya diri.,0,Laki-laki itu berpidato sekan-akan ia orang paling tampan di Jakarta.
Laki-laki itu berpidato dengan sangat percaya diri.,Laki-laki itu berpidato dengan sangat  tidak percaya diri.,1,Laki-laki itu berpidato sekan-akan ia tidak memiliki apapun kecuali yang melekat di badannya.
"Saat aku bersamanya, rasanya begitu nyaman.","Saat aku bersamanya, rasanya begitu tidak nyaman.",0,"Saat aku bersamanya, rasanya seperti dipeluk ibu."
"Saat aku bersamanya, rasanya begitu nyaman.","Saat aku bersamanya, rasanya begitu tidak nyaman.",1,"Saat aku bersamanya, rasanya seperti memakai kain yang rombeng."
"Saat bernyanyi, suaranya terdengar nyaman di telinga atau bagus.","Saat bernyanyi, suaranya terdengar tidak nyaman di telinga atau jelek.",0,"Saat bernyanyi, suaranya terdengar seperti kicauan burung di pagi hari."
"Saat bernyanyi, suaranya terdengar nyaman di telinga atau bagus.","Saat bernyanyi, suaranya terdengar tidak nyaman di telinga atau jelek.",1,"Saat bernyanyi, suaranya terdengar seperti alarm bangun tidur di pagi hari."
Dia menatapku dengan jijik.,Dia menatapku dengan kagum.,0,Dia menatapku seakan-akan aku belum mandi tiga hari.
Dia menatapku dengan jijik.,Dia menatapku dengan kagum.,1,Dia menatapku seakan-akan aku pemenang Putri Indonesia.
Dia memasak dengan jumlah sangat banyak.,Dia memasak dengan jumlah sangat sedikit.,0,Dia memasak seperti akan memberi makan satu RT.
Dia memasak dengan jumlah sangat banyak.,Dia memasak dengan jumlah sangat sedikit.,1,Dia memasak seperti sedang diet ketat.
"Bagiku, makanan ini terasa lezat.","Bagiku, makanan ini terasa tidak enak.",0,"Bagiku, makanan ini terasa seperti dibuat oleh pemenang Masterchef ."
"Bagiku, makanan ini terasa lezat.","Bagiku, makanan ini terasa tidak enak.",1,"Bagiku, makanan ini terasa seperti dibuat oleh anak SD yang baru pertama kali ke dapur ."
Dia berbadan gendut.,Dia berbadan kurus.,0,"Dari badannya, dia terlihat seperti pemain sumo."
Dia berbadan gendut.,Dia berbadan kurus.,1,"Dari badannya, dia terlihat seperti kontentan America's Next Top Model."
Dia menghadapi masalah dengan sikap yang labil.,Dia menghadapi masalah dengan sikap yang bijak.,0,Dia menghadapi masalah seperti remaja yang sedang puber.
Dia menghadapi masalah dengan sikap yang labil.,Dia menghadapi masalah dengan sikap yang bijak.,1,Dia menghadapi masalah seperti psikolog yang tersertifikasi.
"Saat aku berjabat tangan dengannya, tangannya terasa halus.","Saat aku berjabat tangan dengannya, tangannya terasa kasar.",0,"Saat aku berjabat tangan dengannya, rasanya seperti dia tidak pernah bekerja sekalipun dalam hidupnya."
"Saat aku berjabat tangan dengannya, tangannya terasa halus.","Saat aku berjabat tangan dengannya, tangannya terasa kasar.",1,"Saat aku berjabat tangan dengannya, rasanya seperti dia bekerja sebagai tukang cuci."
Pipinya gembul.,Pipinya peyot.,0,Pipinya seperti bakpao.
Pipinya gembul.,Pipinya peyot.,1,Pipinya seperti ban kempes.
Hasil pertandingan hari ini membuatku merasa kecewa.,Hasil pertandingan hari ini membuatku merasa puas.,0,Hasil pertandingan hari ini membuatku merasa seperti menumpahkan sepiring mi goreng yang belum aku makan.
Hasil pertandingan hari ini membuatku merasa kecewa.,Hasil pertandingan hari ini membuatku merasa puas.,1,Hasil pertandingan hari ini membuatku merasa seperti baru saja menyelesaikan lari marathon pertamaku.
Dia berjalan dengan kaku.,Dia berjalan dengan luwes.,0,Dia berjalan seperti robot.
Dia berjalan dengan kaku.,Dia berjalan dengan luwes.,1,Dia berjalan seperti model.
Dia menangkat galon dengan mudah.,Dia menangkat galon dengan susah payah.,0,Dia menangkat galon seperti binaragawan.
Dia menangkat galon dengan mudah.,Dia menangkat galon dengan susah payah.,1,Dia menangkat galon seperti sedang sakit tipes.
Kata-katanya membuatku merasa tenang.,Kata-katanya membuatku merasa gelisah.,0,Kata-katanya membuatku merasa seperti sedang berlibur di Bali.
Kata-katanya membuatku merasa tenang.,Kata-katanya membuatku merasa gelisah.,1,Kata-katanya membuatku merasa seperti diberi setumpuk tugas yang harus selesai besok.
Dia terlihat bahagia.,Dia terlihat murung.,0,"Dari ekspresinya, dia terlihat seperti orang yang sedang jatuh cinta."
Dia terlihat bahagia.,Dia terlihat murung.,1,"Dari ekspresinya, dia terlihat seperti sedang terlilit hutang."
Alas sepatu ini terasa empuk.,Alas sepatu ini terasa keras.,0,Alas sepatu ini terasa seperti bantal bulu angsa.
Alas sepatu ini terasa empuk.,Alas sepatu ini terasa keras.,1,Alas sepatu ini terasa seperti kerikil di dasar sungai.
Kondisi di dalam rumahnya tertata rapi.,Kondisi di dalam rumahnya berantakan.,0,Kondisi di dalam rumahnya seperti showroom di IKEA.
Kondisi di dalam rumahnya tertata rapi.,Kondisi di dalam rumahnya berantakan.,1,Kondisi di dalam rumahnya seperti habis terkena gempa 7 skala Richter.
Dia makan malam dengan tidak berselera.,Dia makan malam dengan lahap.,0,Dia makan malam seperti orang yang sedang sariawan.
Dia makan malam dengan tidak berselera.,Dia makan malam dengan lahap.,1,Dia makan malam seperti orang yang sedang berbuka puasa.
Dia memanggilku dengan berteriak.,Dia memanggilku dengan berbisik.,0,Dia memanggilku seperti seorang ibu yang mencari anaknya di keramaian.
Dia memanggilku dengan berteriak.,Dia memanggilku dengan berbisik.,1,Dia memanggilku seperti pencuri yang takut ketahuan.
Dia memasak dengan sungguh-sungguh.,Dia memasak dengan asal.,0,Dia memasak seperti sedang mengikuti kompetisi Masterchef.
Dia memasak dengan sungguh-sungguh.,Dia memasak dengan asal.,1,Dia memasak seperti anak kos yang malas.
Aku merasa takut saat berada di ketinggian.,Aku merasa berani saat berada di ketinggian.,0,Aku merasa seperti anak kecil yang baru memecahkan vas bunga kesayangan ibunya saat berada di ketinggian.
Aku merasa takut saat berada di ketinggian.,Aku merasa berani saat berada di ketinggian.,1,Aku merasa seperti pecinta reptil yang sedang berkunjung ke penangkaran ular saat berada di ketinggian.
Hidungnya pesek.,Hidungnya mancung.,0,Hidungnya seperti buah ceri.
Hidungnya pesek.,Hidungnya mancung.,1,Hidungnya seperti paruh burung.
Warna kulitnya sawo matang.,Warna kulitnya putih gading.,0,Warna kulitnya seperti kopi susu.
Warna kulitnya sawo matang.,Warna kulitnya putih gading.,1,Warna kulitnya seperti salju.
Dia menari dengan luwes.,Dia menari dengan kaku.,0,Dia menari seperti finalis Indonesia's Got Talent.
Dia menari dengan luwes.,Dia menari dengan kaku.,1,Dia menari seperti bapak-bapak yang punya asam urat.
Dia bermain bulutangkis dengan hebat.,Dia bermain bulutangkis dengan payah.,0,Dia bermain bulutangkis seperti atlet Olimpiade.
Dia bermain bulutangkis dengan hebat.,Dia bermain bulutangkis dengan payah.,1,Dia bermain bulutangkis seperti orang mabuk.
Dia berpakaian rapi.,Dia berpakaian seadanya.,0,Dia berpakaian seperti akan bertemu pujaan hatinya.
Dia berpakaian rapi.,Dia berpakaian seadanya.,1,Dia berpakaian seperti mau beli ikan ke pasar.
Dia bekerja dengan upaya yang maksimal.,Dia bekerja dengan asal-asalan.,0,Dia bekerja seakan-akan dia digaji ratusan juta per bulan.
Dia bekerja dengan upaya yang maksimal.,Dia bekerja dengan asal-asalan.,1,Dia bekerja seakan-akan dia mahasiswa magang yang tidak ingin lulus.
Tasnya terlihat mahal.,Tasnya terlihat murah.,0,"Dari tas yang dipakainya, dia terlihat seperti istri pejabat."
Tasnya terlihat mahal.,Tasnya terlihat murah.,1,"Dari tas yang dipakainya, dia terlihat seperti pengangguran."
Dia naik ke pesawat dengan ragu-ragu.,Dia naik ke pesawat dengan percaya diri.,0,Dia naik ke pesawat seperti orang yang tidak pernah ke luar negeri.
Dia naik ke pesawat dengan ragu-ragu.,Dia naik ke pesawat dengan percaya diri.,1,Dia naik ke pesawat seperti penumpang kelas bisnis.
Dia memelukku dengan erat.,Dia memelukku dengan enggan.,0,Dia memelukku seakan-akan aku adalah ibunya.
Dia memelukku dengan erat.,Dia memelukku dengan enggan.,1,Dia memelukku seakan-akan aku adalah musuh bebuyutannya.
Dia mempresentasikan tugasnya dengan yakin.,Dia mempresentasikan tugasnya dengan gelisah.,0,Dia mempresentasikan tugasnya seperti pemenang lomba pidato internasional.
Dia mempresentasikan tugasnya dengan yakin.,Dia mempresentasikan tugasnya dengan gelisah.,1,Dia mempresentasikan tugasnya seperti orang yang sedang menahan pipis.
Hotel ini terasa sepi.,Hotel ini terasa ramai.,0,Hotel ini terasa seperti di tengah samudera.
Hotel ini terasa sepi.,Hotel ini terasa ramai.,1,Hotel ini terasa seperti stadion bola saat pertandingan.
Kamu tidur dengan sangat nyenyak.,Kamu tidur dengan tidak nyenyak.,0,Kamu tidur seperti beruang yang sedang hibernasi.
Kamu tidur dengan sangat nyenyak.,Kamu tidur dengan tidak nyenyak.,1,Kamu tidur seperti ibu menyusui yang bayinya rewel.
Hari ini aku merasa bahagia.,Hari ini aku merasa sedih.,0,Hari ini aku merasa seperti anak kecil di toko mainan.
Hari ini aku merasa bahagia.,Hari ini aku merasa sedih.,1,Hari ini aku merasa seperti anak kecil yang es krimnya tersenggol dan jatuh.
Mobilnya cepat.,Mobilnya lambat.,0,Mobil itu melaju seperti peluru.
Mobilnya cepat.,Mobilnya lambat.,1,Mobil itu melaju seperti keong.
Budi sangat pintar.,Budi sangat bodoh.,0,"Walaupun berusia 15 tahun, Budi berpikir layaknya seorang ilmuwan."
Budi sangat pintar.,Budi sangat bodoh.,1,"Walaupun berusia 15 tahun, Budi berpikir layaknya balita."
Laptopnya mahal.,Laptopnya murah.,0,Laptop baru Ani harganya seperti berlian.
Laptopnya mahal.,Laptopnya murah.,1,Laptop baru Ani harganya seperti rongsokan.
Rasa jajanan ini tidak enak.,Rasa jajanan ini sangat lezat.,0,Jajanan di kantin ini rasanya seperti kotoran burung.
Rasa jajanan ini tidak enak.,Rasa jajanan ini sangat lezat.,1,Jajanan di kantin ini rasanya seperti sentuhan malaikat.
Ia berpenampilan kumal dan kusam.,Ia berpenampilan cantik dan elok.,0,Penampilannya bagaikan kucing masuk comberan.
Ia berpenampilan kumal dan kusam.,Ia berpenampilan cantik dan elok.,1,Penampilannya bagaikan bidadari.
Ketiaknya berbau tidak sedap.,Ketiaknya berbau sedap.,0,Ketiaknya baunya seperti bunga bangkai.
Ketiaknya berbau tidak sedap.,Ketiaknya berbau sedap.,1,Ketiaknya baunya seperti melati.
Daging itu alot dan keras.,Daging itu lembut.,0,Makan daging itu rasanya seperti menggigit sandal.
Daging itu alot dan keras.,Daging itu lembut.,1,Makan daging itu rasanya seperti menggigit kapas.
Saiful merasa berduka. .,Saiful merasa gembira. .,0,"Mendengar kabar itu, perasaan Saiful layaknya ibu yang kehilangan anaknya."
Saiful merasa berduka. .,Saiful merasa gembira. .,1,"Mendengar kabar itu, perasaan Saiful layaknya seseorang yang menemukan harta terpendam."
Pak RT bekerja malas-malasan dan lamban.,Pak RT bekerja bersemangat dan gesit.,0,Pak RT bekerja seperti kukang kurang tidur.
Pak RT bekerja malas-malasan dan lamban.,Pak RT bekerja bersemangat dan gesit.,1,Pak RT bekerja seperti robot dengan baterai penuh.
Rumahnya luas.,Rumahnya sempit.,0,Rumah itu sebesar lapangan bola.
Rumahnya luas.,Rumahnya sempit.,1,Rumah itu sebesar lubang tikus.
Masjid itu tidak megah.,Masjid itu sangat megah.,0,Masjid di pinggiran kota itu megah bagai gubuk tua.
Masjid itu tidak megah.,Masjid itu sangat megah.,1,Masjid di pinggiran kota itu megah bagai istana raja.
Luka bekas kecelakaan itu sangat menyakitkan.,Luka bekas kecelakaan itu tidak sakit.,0,"Setelah kecelakaan motor semalam, tangan Irvan serasa ditusuk pedang."
Luka bekas kecelakaan itu sangat menyakitkan.,Luka bekas kecelakaan itu tidak sakit.,1,"Setelah kecelakaan motor semalam, tangan Irvan serasa digigit semut."
Teriakannya keras dan lantang.,Teriakannya pelan.,0,Teriakannya seakan suara petir yang menyambar.
Teriakannya keras dan lantang.,Teriakannya pelan.,1,Teriakannya seakan hembusan angin sepoi-sepoi.
Bajunya merah cerah.,Bajunya tidak berwarna merah.,0,Warna bajunya semerah api yang membara.
Bajunya merah cerah.,Bajunya tidak berwarna merah.,1,Warna bajunya semerah abu.
Giginya tidak putih.,Giginya putih.,0,Giginya seputih kopi.
Giginya tidak putih.,Giginya putih.,1,Giginya seputih susu.
Konser tersebut ramai penonton.,Konser tersebut sepi penonton.,0,Penonton konser band itu layaknya semut mengerumuni gula.
Konser tersebut ramai penonton.,Konser tersebut sepi penonton.,1,Penonton konser band itu layaknya peserta kuliah pagi.
Mahasiswa itu sangat sibuk.,Mahasiswa itu tidak sibuk.,0,Mahasiswa itu sibuk bak presiden.
Mahasiswa itu sangat sibuk.,Mahasiswa itu tidak sibuk.,1,Mahasiswa itu sibuk bak pengangguran.
Udaranya sejuk.,Udaranya panas.,0,Udara pagi ini rasanya seperti udara di Puncak.
Udaranya sejuk.,Udaranya panas.,1,Udara pagi ini rasanya seperti Jakarta di siang bolong.
Ia tidak bisa memahami penjelasan yang diberikan.,Ia dengan mudah mengerti penjelasan yang diberikan.,0,"Mendengar penjelasan itu, ia seperti anak TK yang diajari persamaan trigonometri."
Ia tidak bisa memahami penjelasan yang diberikan.,Ia dengan mudah mengerti penjelasan yang diberikan.,1,"Mendengar penjelasan itu, ia seperti profesor yang diajari penjumlahan dasar."
"Baginya, internet itu kebutuhan primer.","Baginya, internet itu kebutuhan tersier.",0,"Menurutnya, internet itu sama pentingnya dengan makan sehari-hari."
"Baginya, internet itu kebutuhan primer.","Baginya, internet itu kebutuhan tersier.",1,"Menurutnya, internet itu sama pentingnya dengan makan di restoran berbintang."
Omongannya sangat pedas.,Omongannya tidak pedas.,0,Omongannya sepedas cabai rawit.
Omongannya sangat pedas.,Omongannya tidak pedas.,1,Omongannya sepedas saus tomat.
"Di Indonesia, orang jujur mudah ditemui.","Di Indonesia, orang jujur jarang ditemui.",0,Mencari orang jujur di Indonesia itu bagai mencari pasir di pantai.
"Di Indonesia, orang jujur mudah ditemui.","Di Indonesia, orang jujur jarang ditemui.",1,Mencari orang jujur di Indonesia itu bagai mencari berlian di dasar laut.
Ia sangat aktif.,Ia tidak aktif.,0,Ia beraktifitas seakan ia masih muda.
Ia sangat aktif.,Ia tidak aktif.,1,Ia beraktifitas seakan ia sudah tua.
Ia mengemudi dengan ugal-ugalan.,Ia mengemudi dengan rapi dan tertib.,0,Ia mengemudi bagaikan sopir angkutan kota.
Ia mengemudi dengan ugal-ugalan.,Ia mengemudi dengan rapi dan tertib.,1,Ia mengemudi bagaikan sopir pribadi presiden.
Orang itu memiliki mental yang lemah.,Orang itu memiliki mental yang kuat.,0,Orang itu bermental tempe.
Orang itu memiliki mental yang lemah.,Orang itu memiliki mental yang kuat.,1,Orang itu bermental baja.
Badannya besar dan kuat.,Badannya kurus dan lemah.,0,Badannya seperti Gatotkaca.
Badannya besar dan kuat.,Badannya kurus dan lemah.,1,Badannya seperti korek api.
Bekerja membuatnya senang.,Bekerja membuatnya menderita.,0,"Baginya, bekerja itu bagai menghirup udara pagi."
Bekerja membuatnya senang.,Bekerja membuatnya menderita.,1,"Baginya, bekerja itu bagai berjalan di bara api."
Kuliah sastra itu sangat sulit.,Kuliah sastra itu sangat mudah.,0,Kuliah sastra adalah pertempuran di medan perang.
Kuliah sastra itu sangat sulit.,Kuliah sastra itu sangat mudah.,1,Kuliah sastra adalah perjalanan santai di taman.
Rizal hidup berfoya-foya dan mewah.,Rizal hidup irit.,0,Rizal menghabiskan uangnya seakan ia anak juragan properti di Jakarta.
Rizal hidup berfoya-foya dan mewah.,Rizal hidup irit.,1,Rizal menghabiskan uangnya seakan ia harus menebus pinjaman online.
Merakit komputer baru itu sangat rumit.,Merakit komputer baru itu sangat mudah.,0,Merakit komputer baru itu rasanya seperti menjinakkan bom. .
Merakit komputer baru itu sangat rumit.,Merakit komputer baru itu sangat mudah.,1,Merakit komputer baru itu rasanya seperti menyelesaikan puzzle untuk anak-anak. .
Berdiskusi dengan pemimpin negeri ini sia-sia belaka.,Berdiskusi dengan pemimpin negeri ini bermanfaat.,0,Berdiskusi dengan para pemimpin negeri ini bagaikan berdebat dengan tembok.
Berdiskusi dengan pemimpin negeri ini sia-sia belaka.,Berdiskusi dengan pemimpin negeri ini bermanfaat.,1,Berdiskusi dengan para pemimpin negeri ini bagaikan menyiram air pada tanaman.
Kerjasama mereka merugikan salah satu pihak.,Kerjasama mereka saling menguntungkan.,0,Kerjasama dua perusahaan itu bagai lalat dan buah.
Kerjasama mereka merugikan salah satu pihak.,Kerjasama mereka saling menguntungkan.,1,Kerjasama dua perusahaan itu bagai lebah dan bunga.
Penampilannya berantakan.,Penampilannya rapi.,0,Penampilan dosen itu seperti sopir angkot.
Penampilannya berantakan.,Penampilannya rapi.,1,Penampilan dosen itu seperti sopir presiden.
Andi suka sekolah.,Andi benci sekolah.,0,Andi menyukai sekolah seperti semut menyukai gula.
Andi suka sekolah.,Andi benci sekolah.,1,Andi menyukai sekolah seperti semut menyukai garam.
Ia pemberani.,Ia penakut.,0,Anak itu berani seperti singa.
Ia pemberani.,Ia penakut.,1,Anak itu berani seperti anak kucing.
Rumahnya sangat kotor.,Rumahnya sangat bersih.,0,Rumahnya seperti tidak pernah dibersihkan selama 100 hari.
Rumahnya sangat kotor.,Rumahnya sangat bersih.,1,Rumahnya seperti dibersihkan 100 kali sehari.
Pikirannya dangkal.,Pikirannya dalam.,0,Pola pikirnya sedalam air kobokan.
Pikirannya dangkal.,Pikirannya dalam.,1,Pola pikirnya sedalam sumur.
Sekolahnya jauh dari rumahnya.,Sekolahnya dekat dari rumahnya.,0,Jarak antar rumah dan sekolahnya serasa jarak dari kutub utara dan kutub selatan.
Sekolahnya jauh dari rumahnya.,Sekolahnya dekat dari rumahnya.,1,Jarak antar rumah dan sekolahnya serasa sejauh lencang tangan.
Seminarnya dilaksanakan secara amatiran.,Seminarnya dilaksanakan secara profesional.,0,Seminar ini seakan dilaksanakan oleh anak SMA.
Seminarnya dilaksanakan secara amatiran.,Seminarnya dilaksanakan secara profesional.,1,Seminar ini seakan dilaksanakan oleh penyelenggara Piala Dunia.
Seminarnya sangat formal.,Seminarnya sangat informal.,0,Seminar kali ini rasanya seperti pertemuan dengan presiden. .
Seminarnya sangat formal.,Seminarnya sangat informal.,1,Seminar kali ini rasanya seperti kumpul-kumpul di tongkrongan. .
Teknik pengobatan itu efektif.,Teknik pengobatan itu tidak efektif.,0,Teknik pengobatan tersebut seefektif membasmi nyamuk dengan Baygon.
Teknik pengobatan itu efektif.,Teknik pengobatan itu tidak efektif.,1,Teknik pengobatan tersebut seefektif menangkap lalat dengan sumpit.
Giginya tajam.,Giginya tumpul.,0,Giginya setajam pisau bedah.
Giginya tajam.,Giginya tumpul.,1,Giginya setajam pisau plastik.
Hidup di Jakarta sangat mudah.,Hidup di Jakarta sangat sulit.,0,Hidup di Jakarta itu semudah mengedipkan mata.
Hidup di Jakarta sangat mudah.,Hidup di Jakarta sangat sulit.,1,Hidup di Jakarta itu semudah menggendong gajah.
Bicaranya meyakinkan dan bersemangat.,Bicaranya tidak meyakinkan dan tidak bersemangat.,0,Gaya bicaranya seperti orator saat demo mahasiswa.
Bicaranya meyakinkan dan bersemangat.,Bicaranya tidak meyakinkan dan tidak bersemangat.,1,Gaya bicaranya seperti orang yang demam panggung.
Potongan bawangnya halus.,Potongan bawangnya kasar.,0,Potongan bawangnya seperti butiran pasir.
Potongan bawangnya halus.,Potongan bawangnya kasar.,1,Potongan bawangnya seperti kerikil.
Instruksi pada buku itu membingungkan.,Instruksi pada buku itu jelas.,0,Mengikuti instruksi pada buku tersebut seperti menelurusi labirin gelap.
Instruksi pada buku itu membingungkan.,Instruksi pada buku itu jelas.,1,Mengikuti instruksi pada buku tersebut seperti menelusuri Jakarta dengan GPS.
Kamarnya kosong.,Kamarnya penuh barang.,0,Kamarnya sekosong saldo mahasiswa di akhir bulan.
Kamarnya kosong.,Kamarnya penuh barang.,1,Kamarnya sekosong jadwal rapat direktur perusahaan.
Dia sangat bersemangat.,Dia tidak antusias.,0,Antusiasmenya seperti bocah yang menonton kartun di pagi hari.
Dia sangat bersemangat.,Dia tidak antusias.,1,Antusiasmenya seperti mahasiswa yang menghadiri kuliah pagi setelah begadang.
tasnya besar.,tasnya kecil.,0,Pria itu membawa tas sebesar patung Pancoran.
tasnya besar.,tasnya kecil.,1,Pria itu membawa tas sebesar upil.
Pemuda itu tidak bisa diatur.,Pemuda itu mudah diatur.,0,Pemuda itu bertingkah seperti anjing rabies.
Pemuda itu tidak bisa diatur.,Pemuda itu mudah diatur.,1,Pemuda itu bertingkah seperti anjing polisi.
larinya cepat.,larinya lambat.,0,Larinya seperti kuda.
larinya cepat.,larinya lambat.,1,Larinya seperti kura-kura.
Dia adalah orang yang memiliki pengaruh di desanya.,Dia adalah orang yang tidak berguna di desanya.,0,Dia adalah tokoh masyarakat di desanya.
Dia adalah orang yang memiliki pengaruh di desanya.,Dia adalah orang yang tidak berguna di desanya.,1,Dia adalah sampah masyarakat di desanya.
Candra selalu melakukan sesuatu supaya mendapat pujian di hadapan teman-temannya.,Candra selalu  berpaling di hadapan teman-temannya.,0,Candra selalu cari muka di hadapan teman-temannya.
Candra selalu melakukan sesuatu supaya mendapat pujian di hadapan teman-temannya.,Candra selalu  berpaling di hadapan teman-temannya.,1,Candra selalu buang muka di hadapan teman-temannya.
Kulitmu halus.,Kulitmu kasar.,0,Kulitmu bagai sutera .
Kulitmu halus.,Kulitmu kasar.,1,Kulitmu bagai parutan kelapa .
Jalanan ini ramai.,Jalanan ini sepi.,0,Jalanan ini seramai acara temu sapa dengan artis ternama.
Jalanan ini ramai.,Jalanan ini sepi.,1,Jalanan ini seramai hutan belantara.
Mencari orang jujur sulit.,Mencari orang jujur mudah.,0,"Zaman sekarang, mencari orang jujur bagai mencari jarum di tumpukan jerami."
Mencari orang jujur sulit.,Mencari orang jujur mudah.,1,"Zaman sekarang, mencari orang jujur bagai  mencari bunga di taman."
Badannya seksi.,Badannya gemuk.,0,Badannya seperti gitar Spanyol.
Badannya seksi.,Badannya gemuk.,1,Badannya seperti drum minyak.
Senyum ibuku menenangkan.,Senyum ibuku menakutkan.,0,Senyum ibuku seindah embun pagi.
Senyum ibuku menenangkan.,Senyum ibuku menakutkan.,1,Senyum ibuku seindah senyum joker.
Suhu badannya Panas.,Suhu badannya dingin.,0,Suhu badannya seperti api.
Suhu badannya Panas.,Suhu badannya dingin.,1,Suhu badannya seperti es.
Kakak membeli baju baru yang murah.,Kakak membeli baju baru yang mahal.,0,Kakak membeli baju baru seharga tahu.
Kakak membeli baju baru yang murah.,Kakak membeli baju baru yang mahal.,1,Kakak membeli baju baru seharga iPhone.
Tempat tinggalku kecil.,Tempat tinggalku besar.,0,Tempat tinggalku seperti gubuk.
Tempat tinggalku kecil.,Tempat tinggalku besar.,1,Tempat tinggalku seperti istana.
"Sewaktu kecil, rambut Fani pendek.","Sewaktu kecil, rambut Fani panjang.",0,"Sewaktu kecil, rambut Fani seperti Dora."
"Sewaktu kecil, rambut Fani pendek.","Sewaktu kecil, rambut Fani panjang.",1,"Sewaktu kecil, rambut Fani seperti Rapunzel."
"Baginya, menjalani kehidupan rumah tangga menyakitkan.","Baginya, menjalani kehidupan rumah tangga menyenangkan.",0,"Baginya, menjalani kehidupan rumah tangga seperti berjalan diatas serpihan kaca."
"Baginya, menjalani kehidupan rumah tangga menyakitkan.","Baginya, menjalani kehidupan rumah tangga menyenangkan.",1,"Baginya, menjalani kehidupan rumah tangga seperti berjalan di taman bunga."
Suaranya merdu dan bagus.,Suaranya jelek.,0,Suaranya seperti buluh perindu.
Suaranya merdu dan bagus.,Suaranya jelek.,1,Suaranya seperti kaset kusut.
Kulit bayi itu putih.,Kulit bayi itu hitam.,0,Kulit bayi itu seperti porselen.
Kulit bayi itu putih.,Kulit bayi itu hitam.,1,Kulit bayi itu seperti arang.
Adikku cerewet.,Adikku pendiam.,0,Adikku seperti burung beo.
Adikku cerewet.,Adikku pendiam.,1,Adikku seperti siput.
Anton rajin bekerja.,Anton malas bekerja.,0,Anton bekerja seperti kerbau yang membajak sawah.
Anton rajin bekerja.,Anton malas bekerja.,1,Anton bekerja seperti  beruang di musim dingin.
Kakak beradik itu suka bertengkar.,Kakak beradik itu rukun.,0,Kakak beradik itu seperti kucing dan tikus.
Kakak beradik itu suka bertengkar.,Kakak beradik itu rukun.,1,Kakak beradik itu seperti kerbau dan burung bangau.
Tubuh Dinda Ramping dan kurus.,Tubuh Dinda  bulat dan gemuk.,0,Dinda memiliki tubuh seperti lidi.
Tubuh Dinda Ramping dan kurus.,Tubuh Dinda  bulat dan gemuk.,1,Dinda memiliki tubuh seperti bola basket.
